日期,測站,AMB_TEMP,CO,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2015/04/30,龍潭,0.7,80.20833,2.93333,205.75,249.0,2.14167,1.92083,24.52174,0.54304,2.16522,18.29565,20.42609,48.69565,81.52174
2015/05/01,龍潭,43.65217,0,76.26087,4.65652,48.92083,93.69565,2.03043,1.39583,23.95833,0.53167,1.99167,15.54583,17.51667,41.375
2015/05/02,龍潭,65.45833,36.91667,0,74.25,3.06667,183.75,184.375,1.50417,1.34583,26.0,0.40125,2.02083,9.44167,11.39583
2015/05/03,龍潭,34.47917,54.0,25.41667,0,74.70833,2.74167,221.79167,216.83333,2.17083,2.04167,26.95833,0.26583,2.025,7.45417
2015/05/04,龍潭,9.475,20.70417,44.125,15.75,0,73.58333,2.48333,248.58333,254.20833,3.8,3.575,20.70833,0.45333,2.42917
2015/05/05,龍潭,13.90417,16.30833,43.21739,41.83333,20.41667,2.2,87.75,1.95417,61.70833,61.1875,2.4875,2.25833,18.91667,0.55
2015/05/06,龍潭,3.37391,22.39565,25.74348,28.2,35.33333,15.625,2.95,92.54167,1.6625,75.875,80.125,1.50417,1.43333,22.58333
2015/05/06,龍潭,0.56292,4.925,18.08333,22.95833,19.81667,62.45833,26.875,0,87.625,2.75417,210.25,222.33333,1.25417,1.0875
2015/05/07,龍潭,24.5,0.51435,4.7,17.0,21.5619,27.5087,69.91304,30.82609,0,81.79167,3.13636,188.29167,168.58333,1.84583
2015/05/08,龍潭,1.42917,24.41667,0.5775,4.97917,18.475,23.325,22.75417,61.54167,24.875,0.2,82.91667,2.88333,153.04167,169.16667
2015/05/09,龍潭,1.33333,1.0875,26.08333,0.41375,3.47917,11.81667,15.27083,22.77083,44.20833,19.125,0,77.75,2.175,198.20833
2015/05/10,龍潭,205.66667,2.1875,1.8375,24.125,0.4225,1.72083,12.175,13.92917,36.375,51.125,19.20833,0,84.625,2.975
2015/05/11,龍潭,158.45833,145.45833,1.70833,1.34583,25.91667,0.48125,3.3125,15.525,18.875,29.3625,77.45833,33.125,0,82.75
2015/05/12,龍潭,3.09583,205.33333,215.45833,1.64167,1.40417,21.70833,0.38762,2.62381,16.79048,19.46667,27.5,59.47826,20.0,10.5
2015/05/13,龍潭,79.25,4.6,133.0,128.66667,3.0,2.8087,26.08333,0.43792,2.23333,14.88095,17.14286,47.11667,63.16667,27.5
2015/05/14,龍潭,0,70.66667,2.69167,208.70833,212.20833,1.6125,1.46667,26.875,0.34708,2.65833,11.24167,13.89167,27.97917,57.0
2015/05/15,龍潭,12.0,0,77.625,2.49167,223.75,220.875,2.03333,1.78333,27.41667,0.29083,3.45417,10.5375,13.94167,22.05417
2015/05/16,龍潭,60.25,13.54167,0,77.625,1.99583,221.375,226.66667,2.6,2.37083,28.16667,0.26625,3.1375,10.125,13.175
2015/05/17,龍潭,21.875,35.58333,13.04167,0,69.54167,2.6125,242.79167,243.45833,2.95,2.82917,27.25,0.28042,3.1375,9.8125
2015/05/18,龍潭,12.96667,22.6125,43.5,18.0,0,74.75,3.29167,239.45833,235.08333,2.34167,2.075,28.125,0.225,2.53333
2015/05/19,龍潭,8.8,11.30833,24.61667,38.91667,17.45833,0,65.66667,1.8125,205.08333,208.41667,3.42917,3.2375,28.66667,0.22783
2015/05/20,龍潭,2.19545,10.11818,12.22273,24.93478,40.34783,17.82609,0,63.625,2.75714,234.875,233.29167,3.94583,3.79583,24.0
2015/05/20,龍潭,0.38917,6.19167,17.4125,23.7875,13.8,41.94444,13.04167,3.2,86.41667,4.39583,99.02917,118.75,1.71667,1.42083
2015/05/21,龍潭,21.33333,0.30875,1.4125,11.11667,12.45,46.16667,33.21739,10.95833,0.3,77.08333,2.13333,58.375,59.95833,3.6875
2015/05/22,龍潭,3.63333,23.33333,0.4175,2.5625,16.0,18.40833,31.16667,35.29167,12.25,1.975,86.91667,2.58333,110.84583,109.16667
2015/05/23,龍潭,1.19167,0.8,23.875,0.44125,1.7375,15.825,17.62917,28.83333,32.16667,10.04167,3.67143,91.95833,2.05,206.25
2015/05/24,龍潭,219.66667,1.225,1.03333,23.79167,0.25583,1.9375,9.42083,11.34583,29.16667,19.25,5.16667,2.08421,90.91667,1.6
2015/05/25,龍潭,194.95833,176.79167,2.69583,2.4875,22.83333,0.38375,2.5375,19.27917,21.82083,26.20833,41.81818,12.91667,0.325,88.54167
2015/05/26,龍潭,6.64583,55.25,56.83333,2.14583,1.90417,22.66667,0.56208,9.5625,25.0875,34.68333,13.5625,41.33333,21.08696,3.65
2015/05/27,龍潭,89.54167,6.17917,94.75,95.375,1.17917,0.95,26.08333,0.3325,5.14167,10.85833,16.07083,16.17083,32.04167,8.29167
2015/05/28,龍潭,0.6,81.58333,1.225,206.16667,221.91667,2.71667,2.42083,28.75,0.19458,2.24167,6.75,9.0375,20.975,31.79167
2015/05/29,龍潭,10.45833,0,71.0,1.8125,240.75,240.45833,4.88333,4.77083,29.54167,0.24667,2.28333,8.62917,10.92083,26.27917
2015/05/30,龍潭,41.125,12.75,0,71.70833,1.925,231.45833,232.04167,3.79583,3.73333,29.375,0.21875,1.95833,8.02083,9.925
2015/05/31,龍潭,25.21667,51.16667,12.5,0,73.875,1.50833,232.79167,232.83333,4.37083,4.3125,27.29167,0.31667,1.89583,9.69167
2015/06/01,龍潭,11.5875,26.29167,39.125,13.33333,2.9,81.83333,2.65,211.875,220.08333,2.40417,1.93333,26.91667,0.33208,3.175
2015/06/02,龍潭,11.6,14.9375,19.54167,32.91667,12.5,0.5,81.91667,2.0625,206.29167,199.29167,1.6,1.39167,28.875,0.27591
2015/06/03,龍潭,3.41304,9.88696,13.26087,19.43043,37.65217,13.52174,0,72.83333,1.7087,221.25,223.75,2.35417,2.24583,29.04167
2015/06/03,龍潭,0.27583,3.37083,11.1,14.53333,16.65833,33.29167,11.91667,0,70.0,2.05417,231.16667,234.54167,3.12917,2.96667
2015/06/04,龍潭,27.54167,0.31208,3.87917,11.60833,15.55417,20.20833,44.66667,18.20833,0,78.75,2.7,252.41667,249.08333,1.93333
2015/06/05,龍潭,1.775,28.875,0.27292,3.09167,9.76667,12.875,20.88333,37.75,15.83333,0,72.875,2.55417,236.04167,219.25
2015/06/06,龍潭,3.19167,3.08333,27.08333,0.38708,3.7,14.025,17.875,19.05,42.08333,16.04167,0.26667,82.83333,2.95833,160.58333
2015/06/07,龍潭,167.9375,1.42083,1.05833,28.20833,0.34042,2.49583,9.02917,11.48333,21.94583,40.875,16.16667,0,77.95833,2.6375
2015/06/08,龍潭,230.45833,232.375,2.1375,1.8125,28.54167,0.27875,2.7125,10.125,12.8,21.51667,39.375,13.83333,0,72.20833
2015/06/09,龍潭,2.95417,227.95833,227.75,2.60833,2.45833,29.125,0.27458,3.00833,10.66667,13.60833,23.15833,36.54167,12.70833,0
2015/06/10,龍潭,68.41667,2.92083,221.41667,217.66667,2.88333,2.81667,29.625,0.28167,2.74583,10.43333,13.10417,25.025,36.70833,14.58333
2015/06/11,龍潭,0,69.04167,2.8375,219.58333,219.70833,2.8125,2.55417,29.91667,0.29542,2.05417,11.6125,13.60417,23.86667,34.86364
2015/06/12,龍潭,14.20833,0,69.0,3.16667,229.58333,231.33333,3.36667,3.16667,29.91667,0.27458,2.42083,9.69583,12.10417,24.24583
2015/06/13,龍潭,37.0,15.16667,0,70.91667,2.49167,202.70833,209.79167,2.29167,2.075,29.79167,0.24792,2.39167,7.88333,10.25
2015/06/14,龍潭,23.22083,32.16667,13.66667,0,70.0,1.7375,209.33333,187.875,2.32083,1.92083,29.08333,0.24417,2.06667,7.10417
2015/06/15,龍潭,9.1875,23.675,30.75,14.20833,2.0,73.08333,2.05,187.625,196.29167,2.0875,1.8625,29.16667,0.235,2.94583
